Site,Date,EnteroCount,FourDayRainTotal,SampleCount
Albany Rowing Dock,7/14/11,82,0.3,36
Albany Rowing Dock,8/21/11,687,0.4,36
Albany Rowing Dock,9/19/11,59,0.1,36
Albany Rowing Dock,10/16/11,2420,1.5,36
Albany Rowing Dock,8/9/08,40,1.5,36
Albany Rowing Dock,6/16/12,53,0.2,36
Albany Rowing Dock,7/21/12,18,0.2,36
Albany Rowing Dock,8/18/12,12,0.3,36
Albany Rowing Dock,9/15/12,21,0.1,36
Albany Rowing Dock,10/15/12,81,1.4,36
Albany Rowing Dock,6/4/13,1300,1.2,36
Albany Rowing Dock,6/24/13,75,1.4,36
Albany Rowing Dock,8/19/13,36,0,36
Albany Rowing Dock,9/21/13,40,0,36
Albany Rowing Dock,10/21/13,30,0.2,36
Albany Rowing Dock,7/19/10,51,0.7,36
Albany Rowing Dock,5/20/12,20,0,36
Albany Rowing Dock,7/21/13,22,0,36
Dunn Memorial Bridge- Albany,6/16/12,17,0.2,38
Dunn Memorial Bridge- Albany,5/22/08,32,0.2,38
Dunn Memorial Bridge- Albany,8/9/08,20,1.5,38
Dunn Memorial Bridge- Albany,10/21/13,134,0.2,38
Dunn Memorial Bridge- Albany,9/21/13,46,0,38
Dunn Memorial Bridge- Albany,8/19/13,29,0,38
Dunn Memorial Bridge- Albany,7/21/13,19,0,38
Dunn Memorial Bridge- Albany,6/24/13,1553,1.4,38
Dunn Memorial Bridge- Albany,6/4/13,1553,1.2,38
Dunn Memorial Bridge- Albany,10/15/12,411,1.4,38
Dunn Memorial Bridge- Albany,9/15/12,211,0.1,38
Dunn Memorial Bridge- Albany,8/18/12,17,0.3,38
Dunn Memorial Bridge- Albany,7/19/10,179,0.7,38
Dunn Memorial Bridge- Albany,7/21/12,3,0.2,38
Dunn Memorial Bridge- Albany,5/20/12,187,0,38
Dunn Memorial Bridge- Albany,10/16/11,2420,1.5,38
Dunn Memorial Bridge- Albany,9/19/11,687,0.1,38
Dunn Memorial Bridge- Albany,8/21/11,34,0.4,38
Dunn Memorial Bridge- Albany,7/14/11,76,0.3,38
Dunn Memorial Bridge- Albany,7/2/11,84,2.1,38
Dunn Memorial Bridge- Albany,5/19/11,770,1.6,38
Dunn Memorial Bridge- Albany,10/16/10,488,1.3,38
Dunn Memorial Bridge- Albany,9/14/10,88,0,38
Dunn Memorial Bridge- Albany,8/23/10,488,0.6,38
Dunn Memorial Bridge- Albany,6/19/08,59,1.4,38
Dunn Memorial Bridge- Albany,8/21/10,25,0.2,38
Dunn Memorial Bridge- Albany,7/17/08,6,0.1,38
Dunn Memorial Bridge- Albany,6/18/10,135,0.2,38
Dunn Memorial Bridge- Albany,5/25/10,980,0,38
Dunn Memorial Bridge- Albany,10/23/09,49,0,38
Dunn Memorial Bridge- Albany,9/17/09,43,0,38
Dunn Memorial Bridge- Albany,8/24/09,76,2.8,38
Dunn Memorial Bridge- Albany,7/31/09,2420,1.9,38
Dunn Memorial Bridge- Albany,6/13/09,32,0.6,38
Dunn Memorial Bridge- Albany,5/16/09,84,0.5,38
Dunn Memorial Bridge- Albany,5/15/09,88,0.5,38
Dunn Memorial Bridge- Albany,10/23/08,10,0.3,38
Dunn Memorial Bridge- Albany,9/18/08,50,0,38
Island Creek/Normans Kill,5/20/12,16,0,35
Island Creek/Normans Kill,9/21/13,33,0,35
Island Creek/Normans Kill,8/19/13,19,0,35
Island Creek/Normans Kill,7/21/13,32,0,35
Island Creek/Normans Kill,6/24/13,40,1.4,35
Island Creek/Normans Kill,6/4/13,1046,1.2,35
Island Creek/Normans Kill,10/15/12,146,1.4,35
Island Creek/Normans Kill,9/15/12,13,0.1,35
Island Creek/Normans Kill,8/18/12,22,0.3,35
Island Creek/Normans Kill,7/21/12,11,0.2,35
Island Creek/Normans Kill,6/16/12,29,0.2,35
Island Creek/Normans Kill,10/16/11,2420,1.5,35
Island Creek/Normans Kill,9/19/11,93,0.1,35
Island Creek/Normans Kill,8/21/11,866,0.4,35
Island Creek/Normans Kill,7/14/11,30,0.3,35
Island Creek/Normans Kill,5/19/11,1733,1.6,35
Island Creek/Normans Kill,10/16/10,2420,1.3,35
Island Creek/Normans Kill,9/14/10,104,0,35
Island Creek/Normans Kill,8/21/10,20,0.2,35
Island Creek/Normans Kill,7/19/10,122,0.7,35
Island Creek/Normans Kill,6/18/10,137,0.2,35
Island Creek/Normans Kill,8/9/08,613,1.5,35
Island Creek/Normans Kill,7/17/08,12,0.1,35
Island Creek/Normans Kill,10/23/09,23,0,35
Island Creek/Normans Kill,8/24/09,163,2.8,35
Island Creek/Normans Kill,7/31/09,2420,1.9,35
Island Creek/Normans Kill,6/13/09,727,0.6,35
Island Creek/Normans Kill,5/15/09,179,0.5,35
Island Creek/Normans Kill,10/23/08,2,0.3,35
Island Creek/Normans Kill,6/19/08,1414,1.4,35
Island Creek/Normans Kill,9/18/08,100,0,35
Island Creek/Normans Kill,5/25/10,6,0,35
Island Creek/Normans Kill,10/21/13,39,0.2,35
Island Creek/Normans Kill,7/2/11,18,2.1,35
Island Creek/Normans Kill,9/17/09,46,0,35
Bethlehem Launch Ramp,6/4/13,2420,1.2,36
Bethlehem Launch Ramp,7/19/10,32,0.7,36
Bethlehem Launch Ramp,8/9/08,26,1.5,36
Bethlehem Launch Ramp,9/18/08,43,0,36
Bethlehem Launch Ramp,10/23/08,8,0.3,36
Bethlehem Launch Ramp,5/15/09,68,0.5,36
Bethlehem Launch Ramp,6/13/09,85,0.6,36
Bethlehem Launch Ramp,7/31/09,1120,1.9,36
Bethlehem Launch Ramp,8/24/09,57,2.8,36
Bethlehem Launch Ramp,9/17/09,20,0,36
Bethlehem Launch Ramp,10/23/09,20,0,36
Bethlehem Launch Ramp,5/25/10,13,0,36
Bethlehem Launch Ramp,6/16/12,4,0.2,36
Bethlehem Launch Ramp,8/21/10,1,0.2,36
Bethlehem Launch Ramp,5/22/08,5,0.2,36
Bethlehem Launch Ramp,6/19/08,18,1.4,36
Bethlehem Launch Ramp,10/21/13,14,0.2,36
Bethlehem Launch Ramp,9/14/10,9,0,36
Bethlehem Launch Ramp,10/16/10,921,1.3,36
Bethlehem Launch Ramp,5/19/11,727,1.6,36
Bethlehem Launch Ramp,7/2/11,16,2.1,36
Bethlehem Launch Ramp,7/14/11,4,0.3,36
Bethlehem Launch Ramp,8/21/11,13,0,36
Bethlehem Launch Ramp,9/19/11,11,0.1,36
Bethlehem Launch Ramp,10/16/11,2420,1.5,36
Bethlehem Launch Ramp,5/20/12,21,0,36
Bethlehem Launch Ramp,6/18/10,91,0.2,36
Bethlehem Launch Ramp,7/17/08,17,0.1,36
Bethlehem Launch Ramp,7/21/12,6,0.2,36
Bethlehem Launch Ramp,8/18/12,7,0.3,36
Bethlehem Launch Ramp,9/15/12,20,0.1,36
Bethlehem Launch Ramp,10/15/12,24,1,36
Bethlehem Launch Ramp,6/24/13,52,0,36
Bethlehem Launch Ramp,7/21/13,4,0,36
Bethlehem Launch Ramp,8/19/13,7,0,36
Bethlehem Launch Ramp,9/21/13,17,0,36
Castleton,10/16/11,1414,1.5,35
Castleton,5/20/12,20,0,35
Castleton,6/16/12,1,0.2,35
Castleton,9/17/08,4,0.3,35
Castleton,10/23/08,5,0.3,35
Castleton,5/15/09,291,0.5,35
Castleton,6/13/09,126,0.6,35
Castleton,7/31/09,770,1.9,35
Castleton,8/24/09,687,2.8,35
Castleton,9/17/09,21,0,35
Castleton,10/23/09,26,0,35
Castleton,5/25/10,1,0,35
Castleton,6/18/10,64,0.2,35
Castleton,8/18/12,7,0.3,35
Castleton,8/21/10,8,0.2,35
Castleton,9/14/10,26,0,35
Castleton,10/16/10,649,1.3,35
Castleton,5/19/11,328,1.6,35
Castleton,7/2/11,25,2.1,35
Castleton,7/14/11,2,0.3,35
Castleton,8/21/11,9,0,35
Castleton,9/19/11,22,0.1,35
Castleton,10/21/13,25,0.2,35
Castleton,7/21/12,5,0.2,35
Castleton,8/19/13,14,0,35
Castleton,7/21/13,20,0,35
Castleton,6/24/13,69,0,35
Castleton,6/4/13,1733,1.2,35
Castleton,10/15/12,31,1,35
Castleton,9/15/12,8,0.1,35
Castleton,7/19/10,5,0.7,35
Castleton,7/17/08,6,0.1,35
Castleton,6/19/08,38,1.4,35
Castleton,8/9/08,45,1.5,35
Castleton,9/21/13,5,0,35
Coeymans Landing,6/4/13,1986,1.2,36
Coeymans Landing,5/25/10,1,0,36
Coeymans Landing,10/23/08,3,0.3,36
Coeymans Landing,9/17/08,11,0.3,36
Coeymans Landing,8/9/08,194,1.5,36
Coeymans Landing,7/17/08,8,0.1,36
Coeymans Landing,6/19/08,14,1.4,36
Coeymans Landing,5/22/08,1,0.2,36
Coeymans Landing,10/16/10,649,1.3,36
Coeymans Landing,9/14/10,22,0,36
Coeymans Landing,8/21/10,8,0.2,36
Coeymans Landing,7/19/10,10,0.7,36
Coeymans Landing,6/18/10,16,0.2,36
Coeymans Landing,5/15/09,8,0.5,36
Coeymans Landing,10/21/13,5,0.2,36
Coeymans Landing,7/2/11,15,2.1,36
Coeymans Landing,7/14/11,6,0.3,36
Coeymans Landing,8/21/11,12,0,36
Coeymans Landing,9/19/11,63,0.1,36
Coeymans Landing,10/16/11,1986,1.5,36
Coeymans Landing,5/20/12,11,0,36
Coeymans Landing,10/23/09,6,0,36
Coeymans Landing,6/16/12,6,0.2,36
Coeymans Landing,6/24/13,34,0,36
Coeymans Landing,8/18/12,19,0.3,36
Coeymans Landing,9/15/12,21,0.1,36
Coeymans Landing,10/15/12,7,1,36
Coeymans Landing,9/17/09,12,0,36
Coeymans Landing,8/24/09,770,2.8,36
Coeymans Landing,6/12/09,20,1.2,36
Coeymans Landing,7/31/09,261,1.9,36
Coeymans Landing,9/21/13,12,0,36
Coeymans Landing,8/19/13,7,0,36
Coeymans Landing,7/21/13,22,0,36
Coeymans Landing,5/19/11,488,1.6,36
Coeymans Landing,7/21/12,2,0.2,36
Coxsackie Waterfront Park,9/15/12,11,0.1,35
Coxsackie Waterfront Park,9/17/09,12,0,35
Coxsackie Waterfront Park,9/21/13,6,0,35
Coxsackie Waterfront Park,8/19/13,6,0,35
Coxsackie Waterfront Park,7/21/13,27,0,35
Coxsackie Waterfront Park,6/24/13,67,0,35
Coxsackie Waterfront Park,6/4/13,89,1.2,35
Coxsackie Waterfront Park,10/21/13,14,0.2,35
Coxsackie Waterfront Park,6/18/08,7,1.4,35
Coxsackie Waterfront Park,7/17/08,11,0.1,35
Coxsackie Waterfront Park,8/9/08,435,1.5,35
Coxsackie Waterfront Park,9/17/08,8,0.3,35
Coxsackie Waterfront Park,8/21/11,1,0,35
Coxsackie Waterfront Park,10/23/08,11,0.3,35
Coxsackie Waterfront Park,5/15/09,5,0.5,35
Coxsackie Waterfront Park,6/12/09,10,1.2,35
Coxsackie Waterfront Park,10/15/12,10,1,35
Coxsackie Waterfront Park,10/23/09,9,0,35
Coxsackie Waterfront Park,8/18/12,15,0.3,35
Coxsackie Waterfront Park,7/21/12,9,0.2,35
Coxsackie Waterfront Park,6/16/12,16,0.2,35
Coxsackie Waterfront Park,5/20/12,49,0,35
Coxsackie Waterfront Park,10/16/11,2420,1.5,35
Coxsackie Waterfront Park,9/19/11,28,0.1,35
Coxsackie Waterfront Park,7/31/09,345,1.9,35
Coxsackie Waterfront Park,7/14/11,13,0.3,35
Coxsackie Waterfront Park,7/2/11,47,2.1,35
Coxsackie Waterfront Park,5/19/11,378,1.6,35
Coxsackie Waterfront Park,10/16/10,96,1.3,35
Coxsackie Waterfront Park,9/14/10,42,0,35
Coxsackie Waterfront Park,8/21/10,2,0.2,35
Coxsackie Waterfront Park,7/19/10,3,0.7,35
Coxsackie Waterfront Park,6/18/10,12,0.2,35
Coxsackie Waterfront Park,5/25/10,19,0,35
Coxsackie Waterfront Park,8/24/09,1733,2.8,35
Gay's Point mid-channel,9/19/11,14,0.1,36
Gay's Point mid-channel,9/15/12,9,0.1,36
Gay's Point mid-channel,6/16/12,4,0.2,36
Gay's Point mid-channel,5/25/10,4,0,36
